City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Lydenburg,ZA,2021-09-22 22:46:09,-25.0978,30.4597,48.4,70,1,0.81
146,Topolobampo,MX,2021-09-22 22:46:09,25.6,-109.05,93.11,46,75,6.91
147,Bucerias,MX,2021-09-22 22:43:02,20.75,-105.3333,87.98,84,77,4.72
148,Erzincan,TR,2021-09-22 22:46:09,39.75,39.5,49.3,100,0,2.3
149,Pacific Grove,US,2021-09-22 22:46:10,36.6177,-121.9166,91.8,80,1,5.01
150,Guerrero Negro,MX,2021-09-22 22:46:10,27.9769,-114.0611,80.04,63,93,12.19
151,Ilulissat,GL,2021-09-22 22:46:11,69.2167,-51.1,28.42,50,75,4.61
152,Gat,IL,2021-09-22 22:46:11,31.61,34.7642,77.68,100,2,5.91
153,Ambon,ID,2021-09-22 22:46:11,-3.6954,128.1814,75.34,94,75,1.14
154,Conde,BR,2021-09-22 22:46:12,-7.2597,-34.9075,78.26,83,0,5.75
155,Ormara,PK,2021-09-22 22:46:12,25.2088,64.6357,79.27,89,66,3.74
156,Mocuba,MZ,2021-09-22 22:46:12,-16.8392,36.9856,66.72,90,28,3.29
157,Marzuq,YE,2021-09-22 22:46:18,14.4,46.4667,77.58,55,56,1.12
158,Tateyama,JP,2021-09-22 22:46:18,34.9833,139.8667,80.62,83,88,17.45
159,Nassau,US,2021-09-22 22:46:19,40.7507,-73.5829,77.95,84,90,1.01
160,Kyra,RU,2021-09-22 22:46:19,49.5776,111.9753,45.5,81,100,8.75
161,Cidreira,BR,2021-09-22 22:46:20,-30.1811,-50.2056,62.17,71,9,16.2
162,Mount Holly,US,2021-09-22 22:46:20,35.2982,-81.0159,75.33,94,90,8.05
163,Torbay,CA,2021-09-22 22:43:08,47.6666,-52.7314,63.48,74,75,19.57
164,Burgos,ES,2021-09-22 22:46:20,42.3394,-3.7079,52.21,93,0,5.75
165,San Jose,US,2021-09-22 22:46:21,37.3394,-121.895,95.27,36,40,14.97
166,Belyy Yar,RU,2021-09-22 22:46:21,53.6039,91.3903,40.89,75,0,4.47
167,Progreso,MX,2021-09-22 22:46:21,21.2833,-89.6667,87.12,73,100,12.26
168,Togur,RU,2021-09-22 22:46:22,58.3631,82.8265,28.04,92,56,3.49
169,Lodja,CD,2021-09-22 22:46:22,-3.4833,23.4333,73.81,69,53,2.57
170,Rodrigues Alves,BR,2021-09-22 22:46:22,-7.738,-72.6509,75.4,97,84,3.02
171,San Cristobal,VE,2021-09-22 22:46:23,7.7669,-72.225,77.18,85,66,3.67
172,Itapetininga,BR,2021-09-22 22:46:23,-23.5917,-48.0531,54.81,82,55,14.09
173,Hualmay,PE,2021-09-22 22:46:23,-11.0964,-77.6139,62.94,83,88,11.05
174,Kavieng,PG,2021-09-22 22:45:06,-2.5744,150.7967,82.51,74,100,11.27
175,Salinopolis,BR,2021-09-22 22:46:24,-0.6136,-47.3561,81.0,79,56,11.86
176,Hobyo,SO,2021-09-22 22:46:24,5.3505,48.5268,77.09,89,91,24.25
177,Longyearbyen,SJ,2021-09-22 22:45:30,78.2186,15.6401,44.44,70,40,23.02
178,Hanzhong,CN,2021-09-22 22:46:25,33.0728,107.0303,68.63,92,100,0.34
179,Kampene,CD,2021-09-22 22:46:25,-3.6,26.6667,70.05,75,84,2.08
180,Luancheng,CN,2021-09-22 22:46:25,37.8792,114.6517,68.16,91,100,0.13
181,Santa Rita Do Sapucai,BR,2021-09-22 22:45:25,-22.2522,-45.7033,61.39,58,13,6.85
182,Naze,JP,2021-09-22 22:46:26,28.3667,129.4833,74.32,66,1,7.83
183,Gondar,ET,2021-09-22 22:46:26,12.6,37.4667,55.63,82,61,3.24
184,Aliwal North,ZA,2021-09-22 22:46:27,-30.6937,26.7114,55.09,43,0,5.84
185,Stromness,GB,2021-09-22 22:46:27,58.965,-3.296,53.87,81,100,25.99
186,Alofi,NU,2021-09-22 22:46:27,-19.0595,-169.9187,78.69,69,75,18.41
187,Lebu,CL,2021-09-22 22:46:28,-37.6167,-73.65,50.59,77,73,4.45
188,Esperance,AU,2021-09-22 22:44:13,-33.8667,121.9,55.24,83,0,9.4
189,Hare Bay,CA,2021-09-22 22:46:28,48.8499,-54.0148,67.35,77,93,4.81
190,Klembivka,UA,2021-09-22 22:46:28,48.3904,28.4109,43.52,92,100,11.21
191,The Valley,AI,2021-09-22 22:42:07,18.217,-63.0578,84.34,70,20,8.05
192,Saint George,US,2021-09-22 22:46:29,37.1041,-113.5841,94.42,12,1,7.0
193,Liverpool,GB,2021-09-22 22:41:39,53.4106,-2.9779,59.83,82,20,1.01
194,Tortoli,IT,2021-09-22 22:46:29,39.9256,9.6572,67.98,79,23,3.36
195,Villa Guerrero,MX,2021-09-22 22:46:30,18.8667,-99.65,77.38,81,39,2.98
196,Mata,PT,2021-09-22 22:46:30,40.683,-7.4592,53.92,64,99,5.23
197,Sibu,MY,2021-09-22 22:46:30,2.3,111.8167,75.51,94,40,3.44
198,Barra Do Garcas,BR,2021-09-22 22:46:31,-15.89,-52.2567,95.58,20,0,3.44
199,Taunggyi,MM,2021-09-22 22:46:31,20.7833,97.0333,60.55,95,85,1.77
200,Klaksvik,FO,2021-09-22 22:44:54,62.2266,-6.589,49.12,91,98,26.98
201,Yulara,AU,2021-09-22 22:46:31,-25.2406,130.9889,46.24,39,82,8.05
202,Sioux Lookout,CA,2021-09-22 22:42:16,50.1001,-91.917,68.38,45,40,10.36
203,Broome,US,2021-09-22 22:46:32,42.2506,-75.833,73.02,82,90,1.01
204,Clyde River,CA,2021-09-22 22:46:32,70.4692,-68.5914,30.43,93,90,12.66
205,La Ronge,CA,2021-09-22 22:46:33,55.1001,-105.2842,61.05,51,90,2.3
206,Liwale,TZ,2021-09-22 22:46:33,-9.7667,37.9333,64.98,90,5,1.77
207,Margate,GB,2021-09-22 22:46:09,51.3813,1.3862,58.69,80,25,1.01
208,Coihaique,CL,2021-09-22 22:46:19,-45.5752,-72.0662,53.55,62,75,3.44
209,Nhulunbuy,AU,2021-09-22 22:45:14,-12.2333,136.7667,79.41,53,90,14.97
210,Tera,NE,2021-09-22 22:46:34,14.0078,0.7531,84.24,62,58,19.22
211,Aklavik,CA,2021-09-22 22:46:34,68.2191,-135.0107,38.23,68,100,13.35
212,Siderno,IT,2021-09-22 22:46:34,38.2779,16.302,73.99,74,59,8.41
213,Hamilton,US,2021-09-22 22:43:54,39.1834,-84.5333,57.36,95,90,3.0
214,Souillac,MU,2021-09-22 22:46:35,-20.5167,57.5167,71.37,78,40,11.5
215,Sorong,ID,2021-09-22 22:46:35,-0.8833,131.25,78.8,83,77,4.52
216,Hithadhoo,MV,2021-09-22 22:45:31,-0.6,73.0833,82.2,75,99,18.61
217,Kahului,US,2021-09-22 22:45:12,20.8947,-156.47,87.82,42,20,23.02
218,Kalmunai,LK,2021-09-22 22:44:46,7.4167,81.8167,79.07,83,98,5.66
219,San Patricio,US,2021-09-22 22:46:36,28.017,-97.5169,88.48,22,22,11.36
220,Port Neches,US,2021-09-22 22:46:36,29.9913,-93.9585,80.64,32,1,13.8
221,Alyangula,AU,2021-09-22 22:46:38,-13.8483,136.4192,75.07,43,9,5.75
222,Pevek,RU,2021-09-22 22:46:38,69.7008,170.3133,29.05,62,100,6.38
223,Bela,IN,2021-09-22 22:46:38,25.9333,81.9833,76.23,91,2,7.4
224,Komsomolskiy,UZ,2021-09-22 22:46:39,40.4272,71.7189,61.52,44,0,4.61
225,Araouane,ML,2021-09-22 22:44:28,18.9048,-3.5265,96.26,9,2,6.6
226,Balykshi,KZ,2021-09-22 22:46:39,47.0667,51.8667,62.6,23,40,22.37
227,Constitucion,CL,2021-09-22 22:46:39,-35.3333,-72.4167,51.15,83,6,10.22
228,Krugersdorp,ZA,2021-09-22 22:46:40,-26.0858,27.7752,53.62,71,21,6.93
229,Tessalit,ML,2021-09-22 22:46:40,20.1986,1.0114,92.61,11,64,8.48
230,Avera,US,2021-09-22 22:46:40,33.194,-82.5271,75.25,81,32,14.27
231,Karratha,AU,2021-09-22 22:46:41,-20.7377,116.8463,79.14,28,100,4.92
232,Dhidhdhoo,MV,2021-09-22 22:46:41,6.8833,73.1,82.96,75,100,17.07
233,Yerbogachen,RU,2021-09-22 22:46:42,61.2767,108.0108,32.31,90,59,4.34
234,La Romana,DO,2021-09-22 22:46:42,18.4273,-68.9728,84.56,74,40,4.61
235,Bereda,ES,2021-09-22 22:46:42,43.2686,-7.5406,59.92,99,37,6.64
236,Tiksi,RU,2021-09-22 22:46:43,71.6872,128.8694,37.22,76,99,3.69
237,Rio Grande,BR,2021-09-22 22:46:43,-32.035,-52.0986,59.36,68,83,15.5
238,Rocha,UY,2021-09-22 22:46:43,-34.4833,-54.3333,51.75,85,100,4.56
239,Coromandel,BR,2021-09-22 22:46:44,-18.4733,-47.2003,84.81,28,65,4.54
240,Taphan Hin,TH,2021-09-22 22:46:44,16.2209,100.4198,73.53,95,100,3.29
241,Andra,RU,2021-09-22 22:46:44,62.5147,65.8878,39.47,88,100,5.48
242,Warmbad,NA,2021-09-22 22:46:44,-28.45,18.7333,66.69,17,1,5.61
243,Lasa,IT,2021-09-22 22:46:45,46.6166,10.7002,56.28,63,44,1.61
244,Svetlyy,RU,2021-09-22 22:46:45,54.675,20.1347,50.05,80,100,9.64
245,Port Hardy,CA,2021-09-22 22:46:46,50.6996,-127.4199,59.18,67,20,11.5
246,Ouallam,NE,2021-09-22 22:46:46,14.3188,2.0866,83.41,65,98,18.84
247,Manokwari,ID,2021-09-22 22:46:46,-0.8667,134.0833,79.9,75,100,2.51
248,Gaoual,GN,2021-09-22 22:46:47,11.75,-13.2,76.41,92,100,2.59
249,Malanje,AO,2021-09-22 22:46:47,-9.5402,16.341,69.26,68,68,6.8
250,Bulaevo,KZ,2021-09-22 22:46:47,54.9056,70.4439,38.57,86,74,7.85
251,Faya,SA,2021-09-22 22:44:40,18.3851,42.4509,64.92,24,38,2.15
252,Grand Gaube,MU,2021-09-22 22:45:19,-20.0064,57.6608,71.38,74,24,3.0
253,Amapa,BR,2021-09-22 22:46:48,1.0,-52.0,71.69,97,92,2.46
254,Yar-Sale,RU,2021-09-22 22:46:48,66.8333,70.8333,37.81,89,74,14.67
255,Ust-Kuyga,RU,2021-09-22 22:46:48,70.0167,135.6,37.51,68,87,6.17
256,Zhigansk,RU,2021-09-22 22:46:49,66.7697,123.3711,40.33,95,100,16.02
257,Quatre Cocos,MU,2021-09-22 22:46:07,-20.2078,57.7625,71.1,77,51,12.08
258,Pilar,BR,2021-09-22 22:46:49,-9.5972,-35.9567,78.73,92,8,7.81
259,Waipawa,NZ,2021-09-22 22:46:50,-41.4122,175.5153,61.03,86,100,5.35
260,Urucara,BR,2021-09-22 22:46:50,-2.5364,-57.76,79.54,76,93,2.13
261,Kabanjahe,ID,2021-09-22 22:46:50,3.1001,98.4908,62.11,85,99,2.98
262,Lagoa,PT,2021-09-22 22:45:09,39.05,-27.9833,69.98,74,0,12.88
263,Namatanai,PG,2021-09-22 22:44:04,-3.6667,152.4333,82.17,73,100,6.4
264,Katsuura,JP,2021-09-22 22:45:17,35.1333,140.3,80.71,81,95,17.27
265,Chumikan,RU,2021-09-22 22:46:51,54.7183,135.315,47.17,53,0,6.13
266,Sandy Bay,AU,2021-09-22 22:46:51,-42.913,147.3532,61.3,53,40,8.01
267,Muros,ES,2021-09-22 22:46:52,42.7762,-9.0603,65.23,72,1,13.73
268,Lata,PT,2021-09-22 22:46:52,40.1629,-8.3327,64.81,80,100,4.97
269,Portland,US,2021-09-22 22:45:01,45.5234,-122.6762,72.52,65,90,1.99
270,Sao Filipe,CV,2021-09-22 22:45:07,14.8961,-24.4956,78.93,81,22,6.73
271,Husavik,IS,2021-09-22 22:45:18,66.0449,-17.3389,39.11,82,92,9.55
272,Winnemucca,US,2021-09-22 22:45:41,40.973,-117.7357,84.25,14,20,5.75
273,Juba,SS,2021-09-22 22:46:53,4.8517,31.5825,72.34,80,40,3.2
