City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Redwater,US,85.42,scattered clouds,33.3582,-94.2544,Witterstaetter Properties
345,Quatre Cocos,MU,72.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
349,Altamont,US,74.89,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
350,Faya,SA,63.12,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
352,Kalmunai,LK,78.58,heavy intensity rain,7.4167,81.8167,VS Villa
353,Winneba,GH,76.78,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
355,Boone,US,76.66,heavy intensity rain,39.0334,-92.3335,Cottonwoods RV Park
356,Sungaipenuh,ID,64.04,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
357,White Rock,CA,60.69,light rain,49.0164,-122.8026,Ocean Promenade Hotel
359,Barcelos,PT,64.92,overcast clouds,41.5388,-8.6151,Hotel Do Terço
360,Garissa,KE,74.84,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
361,Mitsamiouli,KM,75.87,scattered clouds,-11.3847,43.2844,Foyer ADM
362,Petatlan,MX,89.4,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
363,Yang Talat,TH,79.36,clear sky,16.3998,103.3679,โรงแรมกู๊ดวิว
364,Kupang,ID,80.2,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
365,Tarabha,IN,76.41,overcast clouds,20.7333,83.65,The spicy house
366,Lokoja,NG,77.13,light rain,7.8024,6.743,Hotel Charvid
369,Port Macquarie,AU,68.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
370,Vila Do Maio,CV,79.59,broken clouds,15.1333,-23.2167,Hotel Marilu
373,Ahualulco,MX,73.22,broken clouds,22.4,-101.1667,Hotel Aurelieus
374,Kieta,PG,80.06,light rain,-6.2167,155.6333,Uruna Bay Retreat
378,Beloit,US,84.29,broken clouds,42.5084,-89.0318,Best Western Legacy Inn & Suites Beloit-South Beloit
381,Inhambane,MZ,69.53,clear sky,-23.865,35.3833,Oceano
383,Dakar,SN,79.68,few clouds,14.6937,-17.4441,Redface Studios Meublés
386,Naliya,IN,80.19,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
387,Yulara,AU,69.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
389,Ballina,AU,68.77,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
395,Mlalo,TZ,69.96,light rain,-4.9333,38.9333,B Farm
397,Raymond Terrace,AU,70.75,broken clouds,-32.75,151.75,Sleepy Hill Motor Inn
398,Aquiraz,BR,84.22,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
400,Jaisalmer,IN,83.64,overcast clouds,26.9147,70.9181,Hotel Fifu
402,Taber,CA,74.28,few clouds,49.8167,-112.1518,Taber Motel
404,Dwarka,IN,81.18,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
405,Vila Franca Do Campo,PT,71.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
406,Niceville,US,84.15,broken clouds,30.5169,-86.4822,Hampton Inn Niceville-Eglin Air Force Base
408,San Juan,AR,70.74,clear sky,-31.5375,-68.5364,Hotel Provincial
409,Roura,GF,82.96,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
411,Caninde,BR,81.52,broken clouds,-4.3589,-39.3117,Hotel Casa Grande II
412,Tabuk,PH,76.51,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
413,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
415,Sao Filipe,CV,79.59,overcast clouds,14.8961,-24.4956,Hotel Xaguate
416,Parrita,CR,80.51,overcast clouds,9.5201,-84.3225,Beso del Viento
421,Palmerston,AU,85.93,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
422,Carutapera,BR,78.55,moderate rain,-1.195,-46.02,Lidera
423,Bahia Honda,CU,79.43,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
425,Tuy Hoa,VN,76.8,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
426,Sorong,ID,80.89,broken clouds,-0.8833,131.25,waigo splash hotel
428,Mahibadhoo,MV,82.11,overcast clouds,3.7833,72.9667,Omadhoo Inn
432,Fortuna,US,82.47,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
433,Taltal,CL,61.57,few clouds,-25.4,-70.4833,Residencial Karime
434,Pizarro,CO,75.34,overcast clouds,4.9533,-77.366,Hotel Limonar
435,Marawi,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
438,Chokwe,MZ,70.14,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
443,Tucuman,AR,80.53,clear sky,-26.8241,-65.2226,HOTEL MIAMI
444,Cabreuva,BR,68.27,clear sky,-23.3075,-47.1328,Unahy Cabreúva
445,Gambela,ET,69.44,broken clouds,8.25,34.5833,Solomon Debebe Hotel
449,Iquitos,PE,80.58,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
450,Muros,ES,60.24,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
451,Erzin,TR,74.12,clear sky,36.9559,36.2,Artemis Otel
452,Reconquista,AR,79.29,broken clouds,-29.15,-59.65,Grand Hotel
454,Port Blair,IN,80.96,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
455,Beidao,CN,60.93,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
456,Ormara,PK,83.35,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
457,Marrakesh,MA,84.27,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
458,Tarija,BO,66.61,broken clouds,-21.5355,-64.7296,Hostal Granny
459,Ocos,GT,85.91,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
462,Souillac,MU,72.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
464,Sidney,AU,65.32,light rain,-33.8679,151.2073,The Grace Sydney
465,Salalah,OM,80.69,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
466,Cururupu,BR,75.56,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
468,Fomboni,KM,76.87,clear sky,-12.28,43.7425,Auberge les abou
469,Noshiro,JP,67.03,light rain,40.2039,140.0242,Azuma Ryokan
472,Great Yarmouth,GB,61.05,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
473,Kasama,ZM,70.43,scattered clouds,-10.2129,31.1808,Kalebalika Cottages
475,Phu Ly,VN,76.28,clear sky,20.5411,105.9139,5 Star Apartment Central Phu Ly
478,Baker City,US,72.82,clear sky,44.7749,-117.8344,Bridge Street Inn
