City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Westport,US,41.1415,-73.3579,62.98,62,90,1.99,overcast clouds
250,Ugoofaaru,MV,5.6667,73.0,81.5,77,83,11.34,broken clouds
251,Sioux Lookout,CA,50.1001,-91.917,72.64,65,81,4.21,broken clouds
252,Batticaloa,LK,7.7102,81.6924,78.39,84,100,3.09,moderate rain
253,Gizo,SB,-8.103,156.8419,83.32,74,91,8.77,overcast clouds
254,Calamar,CO,10.2511,-74.9146,84.15,89,100,6.58,overcast clouds
255,Asau,RO,46.4333,26.4,45.75,83,75,2.15,broken clouds
256,Hofn,IS,64.2539,-15.2082,45.93,72,100,22.1,overcast clouds
257,Phek,IN,25.6667,94.5,57.18,99,48,0.72,scattered clouds
258,Ninghai,CN,29.2892,121.4247,70.74,82,0,2.62,clear sky
259,Olinda,BR,-8.0089,-34.8553,80.33,78,75,9.22,broken clouds
260,Kyra,RU,49.5776,111.9753,26.08,82,4,3.22,clear sky
261,Svetlogorsk,BY,52.6333,29.7333,40.06,82,50,6.35,scattered clouds
262,Yeppoon,AU,-23.1333,150.7333,69.58,73,98,3.18,overcast clouds
263,Karasjok,NO,69.4719,25.5112,42.91,90,72,8.08,broken clouds
264,Miles City,US,46.4083,-105.8406,77.5,24,1,4.61,clear sky
265,Lima,PE,-12.0432,-77.0282,61.14,84,74,8.14,broken clouds
266,Manacapuru,BR,-3.2997,-60.6206,72.18,68,99,4.41,overcast clouds
267,Loucovice,CZ,48.6202,14.2575,43.14,75,47,0.92,scattered clouds
268,Kirakira,SB,-10.4544,161.9205,84.38,72,92,7.83,overcast clouds
269,Te Anau,NZ,-45.4167,167.7167,53.31,64,33,3.36,scattered clouds
270,Oranjemund,NA,-28.55,16.4333,56.17,95,6,5.93,clear sky
271,Port Moresby,PG,-9.4431,147.1797,79.36,85,100,1.25,overcast clouds
272,Novyye Burasy,RU,52.1324,46.0714,45.95,62,100,4.76,overcast clouds
273,Tefe,BR,-3.3542,-64.7114,79.93,73,100,1.7,overcast clouds
274,Urumqi,CN,43.801,87.6005,58.15,39,0,8.95,clear sky
275,Havoysund,NO,70.9963,24.6622,45.48,80,37,10.31,scattered clouds
276,Mnogovershinnyy,RU,53.9353,139.9242,42.21,92,96,4.74,light rain
277,Eydhafushi,MV,5.1033,73.0708,81.5,77,77,10.25,broken clouds
278,Pevek,RU,69.7008,170.3133,27.57,86,100,10.42,light snow
279,Alofi,NU,-19.0595,-169.9187,80.49,69,75,13.8,broken clouds
280,Acajutla,SV,13.5928,-89.8275,91.74,78,20,5.32,few clouds
281,Tromso,NO,69.6496,18.957,45.37,87,0,1.01,clear sky
282,Flin Flon,CA,54.7682,-101.865,63.41,36,16,5.66,few clouds
283,Uchana,IN,29.4667,76.1667,80.71,73,24,4.0,few clouds
284,Inirida,CO,3.8653,-67.9239,74.82,95,45,3.22,scattered clouds
285,Santo Antonio Do Ica,BR,-3.1022,-67.9397,78.28,85,100,0.94,light rain
286,Eyl,SO,7.9803,49.8164,78.24,83,99,17.96,overcast clouds
287,Ongandjera,NA,-17.8833,15.0667,69.19,20,1,14.12,clear sky
288,Southbridge,US,42.0751,-72.0334,56.16,79,87,3.62,overcast clouds
289,Hami,CN,42.8,93.45,62.85,32,6,7.78,clear sky
290,Kindu,CD,-2.95,25.95,70.97,97,100,1.74,overcast clouds
291,Bosaso,SO,11.2842,49.1816,87.84,57,80,4.38,broken clouds
292,Padang,ID,-0.9492,100.3543,75.94,82,100,2.73,overcast clouds
293,Uzunovo,RU,54.5386,38.6173,37.65,88,9,2.42,clear sky
294,Ulety,RU,51.3572,112.4849,26.31,87,22,3.36,few clouds
295,Lewisporte,CA,49.2499,-55.0482,57.13,99,100,5.88,overcast clouds
296,Buenos Aires,AR,-34.6132,-58.3772,62.33,93,75,8.05,broken clouds
297,Muroto,JP,33.2833,134.15,80.64,72,54,4.07,broken clouds
298,Codrington,AU,-38.2667,141.9667,56.44,96,99,20.07,overcast clouds
299,Poronaysk,RU,49.2167,143.1167,54.84,68,39,5.95,scattered clouds
300,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.67,84,78,9.95,broken clouds
301,Tamworth,GB,52.634,-1.6959,59.63,87,100,7.0,light rain
302,Trelew,AR,-43.249,-65.3051,58.91,17,66,22.37,broken clouds
303,Udachnyy,RU,66.4167,112.4,29.03,66,64,3.29,broken clouds
304,Inuvik,CA,68.3499,-133.7218,22.08,92,51,4.81,broken clouds
305,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,93,90,16.11,overcast clouds
306,Vardo,NO,70.3705,31.1107,45.61,79,23,13.35,few clouds
307,Agadez,NE,19.75,10.25,81.21,14,17,10.85,few clouds
308,Yurgamysh,RU,55.3714,64.4656,34.75,81,61,10.22,broken clouds
309,Panyutyne,UA,48.9333,36.2833,43.29,62,0,7.31,clear sky
310,Bafang,CM,5.1563,10.1788,63.95,99,96,0.16,light rain
311,Amurzet,RU,47.6967,131.0981,45.55,66,25,7.31,scattered clouds
312,Palmer,US,42.1584,-72.3287,56.44,74,20,0.0,few clouds
313,San-Pedro,CI,4.7485,-6.6363,76.06,93,50,4.83,scattered clouds
314,Lethem,GY,3.3803,-59.7968,85.26,55,89,4.07,overcast clouds
315,Mareeba,AU,-17.0,145.4333,76.48,78,90,1.86,overcast clouds
316,Peace River,CA,56.2501,-117.286,66.11,28,25,21.27,scattered clouds
317,Bilma,NE,18.6853,12.9164,84.54,12,0,11.72,clear sky
318,Krasnoselkup,RU,65.7,82.4667,29.39,96,100,14.85,light snow
319,Rio Branco,BR,-9.9747,-67.81,79.41,78,20,2.3,few clouds
320,Misratah,LY,32.3754,15.0925,77.27,61,0,10.63,clear sky
321,Norman Wells,CA,65.282,-126.8329,39.58,82,98,7.85,overcast clouds
322,Ayagoz,KZ,47.9714,80.4392,44.1,64,100,12.5,overcast clouds
323,Lagoa,PT,39.05,-27.9833,70.38,86,58,4.92,broken clouds
324,Kaitangata,NZ,-46.2817,169.8464,53.92,58,80,12.26,broken clouds
325,Merauke,ID,-8.4667,140.3333,81.19,79,93,9.73,overcast clouds
326,Beisfjord,NO,68.3751,17.5988,46.26,83,81,8.99,broken clouds
327,Narsaq,GL,60.9167,-46.05,32.22,46,0,4.05,clear sky
328,Pochutla,MX,15.7432,-96.4661,86.83,76,83,3.76,broken clouds
329,Oskemen,KZ,49.9565,82.6119,44.56,93,90,17.9,overcast clouds
330,Maun,BW,-19.9833,23.4167,76.69,27,82,5.57,broken clouds
331,Torbay,CA,47.6666,-52.7314,61.88,98,90,2.3,fog
332,Milkovo,RU,54.7167,158.6167,41.04,83,100,3.69,overcast clouds
333,Bayir,TR,37.2687,28.2167,61.32,52,0,5.06,clear sky
334,Mangan,IN,27.5167,88.5333,72.52,83,96,3.04,overcast clouds
335,Lebedinyy,RU,58.5167,125.5167,26.73,97,100,4.5,snow
336,Tessalit,ML,20.1986,1.0114,85.59,10,14,8.72,few clouds
337,Pendleton,US,45.6721,-118.7886,81.05,28,40,3.0,scattered clouds
338,Yerbogachen,RU,61.2767,108.0108,27.79,91,21,3.6,few clouds
339,Shingu,JP,33.7333,135.9833,76.19,83,100,9.6,light rain
340,San Andres,CO,12.5847,-81.7006,84.22,79,75,6.91,broken clouds
341,Suez,EG,29.9737,32.5263,70.66,84,0,9.13,clear sky
342,Redwater,US,33.3582,-94.2544,85.42,68,49,5.7,scattered clouds
343,Severo-Kurilsk,RU,50.6789,156.125,48.02,97,100,20.51,light rain
344,Tuatapere,NZ,-46.1333,167.6833,52.83,66,71,7.87,broken clouds
345,Quatre Cocos,MU,-20.2078,57.7625,72.09,77,36,14.14,scattered clouds
346,Roma,US,43.2128,-75.4557,57.06,72,75,8.05,broken clouds
347,Thinadhoo,MV,0.5333,72.9333,81.7,71,57,4.43,broken clouds
348,Sitka,US,57.0531,-135.33,51.69,82,90,20.71,moderate rain
